排名	歌名	表演者	发表时间	音乐类型	评分	详细链接	图片
29	 Jay 	周杰伦 	 2000-11-13 	 流行	8.9	https://music.douban.com/subject/1422300/	https://img9.doubanio.com/view/subject/s/public/s8932514.jpg
30	 Parachutes 	Coldplay 	 2000-07-10 	 摇滚	9.0	https://music.douban.com/subject/1463061/	https://img2.doubanio.com/view/subject/s/public/s1400723.jpg
31	 我要的幸福 MyDesiredHappiness 	孙燕姿 	 2000-12-7 	 流行	8.9	https://music.douban.com/subject/1405028/	https://img3.doubanio.com/view/subject/s/public/s3524071.jpg
32	 还是会寂寞 还是会寂寞 	陈绮贞 	 2000 	 流行	9.0	https://music.douban.com/subject/1394547/	https://img1.doubanio.com/view/subject/s/public/s27076587.jpg
33	 LetGo 	Avril Lavigne 	 2002 	 摇滚	8.8	https://music.douban.com/subject/1394992/	https://img3.doubanio.com/view/subject/s/public/s2652911.jpg
34	 十一月的萧邦 November'sChopin 	周杰伦 	 2005-11-01 	 流行	8.0	https://music.douban.com/subject/1436975/	https://img9.doubanio.com/view/subject/s/public/s1456874.jpg
35	 橙月 OrangeMoon 	方大同 	 2008-12-19 	R&B	8.5	https://music.douban.com/subject/3313612/	https://img1.doubanio.com/view/subject/s/public/s3405037.jpg
36	 小宇宙 	苏打绿 	 2006-10-20 	 流行	8.7	https://music.douban.com/subject/1900796/	https://img9.doubanio.com/view/subject/s/public/s1883654.jpg
37	 若你碰到他 若你碰到他 	蔡健雅 	 2009-08-19 	 流行	8.0	https://music.douban.com/subject/4323489/	https://img9.doubanio.com/view/subject/s/public/s3942165.jpg
38	 Lady&Bird 	Lady & Bird 	 2003 	 民谣	8.8	https://music.douban.com/subject/1394763/	https://img3.doubanio.com/view/subject/s/public/s2376100.jpg
39	 万能青年旅店 	万能青年旅店 	 2010-11-12 	 摇滚	9.1	https://music.douban.com/subject/5344708/	https://img1.doubanio.com/view/subject/s/public/s4614409.jpg
40	 Meteora 流星圣殿 	Linkin Park 	 2003-03-25 	 摇滚	9.0	https://music.douban.com/subject/1395785/	https://img1.doubanio.com/view/subject/s/public/s1401378.jpg
41	 BackToBedlam 不安於室 	James Blunt 	 2004 	 流行	8.9	https://music.douban.com/subject/1401550/	https://img2.doubanio.com/view/subject/s/public/s1461123.jpg
42	 苏打绿同名专辑 	"苏打绿,蘇打綠 "	 2005年9月 	 流行	8.6	https://music.douban.com/subject/1421488/	https://img3.doubanio.com/view/subject/s/public/s2360790.jpg
43	 静茹&情歌别再为他流泪 别再为他流泪 	梁静茹 	 2009-01-16 	 流行	8.4	https://music.douban.com/subject/3427630/	https://img9.doubanio.com/view/subject/s/public/s3551584.jpg
44	 美妙生活 PerfectLife 	林宥嘉 	 2011-05-06 	 流行	8.6	https://music.douban.com/subject/6113840/	https://img2.doubanio.com/view/subject/s/public/s6201192.jpg
45	 LeFabuleuxdestind'AméliePoulain 天使爱美丽 	Yann Tiersen 	 2001-04-23 	 原声	9.3	https://music.douban.com/subject/1394798/	https://img1.doubanio.com/view/subject/s/public/s2881998.jpg
46	 Joanna&王若琳 	王若琳 	 2009-01-16 	 爵士	8.1	https://music.douban.com/subject/3335374/	https://img2.doubanio.com/view/subject/s/public/s3550503.jpg
47	 APleaEnVendredi 	Tamas Wells 	 2006 	 民谣	9.0	https://music.douban.com/subject/1776145/	https://img2.doubanio.com/view/subject/s/public/s2783063.jpg
48	 ToHebe 給自己 	田馥甄 Hebe 	 2010-09-03 	 流行	8.0	https://music.douban.com/subject/4935955/	https://img9.doubanio.com/view/subject/s/public/s4466905.jpg
49	 逆光 AgainsttheLight 	孙燕姿 	 2007-03-22 	 流行	8.3	https://music.douban.com/subject/2009904/	https://img9.doubanio.com/view/subject/s/public/s2333326.jpg
50	 只爱陌生人 	王菲 	 1999-09-10 	 流行	9.3	https://music.douban.com/subject/3590980/	https://img1.doubanio.com/view/subject/s/public/s3390958.jpg
51	 MusicForTourists 	Chris Garneau 	 2007-01-23 	 民谣	8.7	https://music.douban.com/subject/1960229/	https://img9.doubanio.com/view/subject/s/public/s1989094.jpg
52	 TheMoment 关键时刻 	孙燕姿 	 2003-08-22 	 流行	9.0	https://music.douban.com/subject/1402385/	https://img3.doubanio.com/view/subject/s/public/s2794840.jpg
53	 七 	陈奕迅 	 2003-11-20 	 流行	9.4	https://music.douban.com/subject/1406094/	https://img9.doubanio.com/view/subject/s/public/s3169796.jpg
54	 春·日光 日光 	苏打绿 	 2009-05-08 	 民谣	8.0	https://music.douban.com/subject/3671026/	https://img1.doubanio.com/view/subject/s/public/s3763169.jpg
55	 100种生活 	盧廣仲 	 2008-5-27 	 民谣	8.3	https://music.douban.com/subject/3039969/	https://img1.doubanio.com/view/subject/s/public/s3128207.jpg
56	 崇拜 J'adore 	梁静茹 	 2007-11-09 	 流行	8.4	https://music.douban.com/subject/2282388/	https://img1.doubanio.com/view/subject/s/public/s2758489.jpg
57	 陈绮贞精选 Cheer精选 	陈绮贞 	 2005 	 民谣	9.2	https://music.douban.com/subject/1408468/	https://img9.doubanio.com/view/subject/s/public/s3232974.jpg
58	 菊次郎の夏 Kikujiro(1999Film) 	Joe Hisaishi 	 1999-05-19 	 原声	9.4	https://music.douban.com/subject/1419282/	https://img3.doubanio.com/view/subject/s/public/s3272681.jpg
59	 Fearless 	Taylor Swift 	 2008-11-11 	 流行	8.4	https://music.douban.com/subject/3220185/	https://img2.doubanio.com/view/subject/s/public/s3315133.jpg
60	 LifeInCartoonMotion 	Mika 	 2007-02-05 	 流行	8.8	https://music.douban.com/subject/1968390/	https://img2.doubanio.com/view/subject/s/public/s2657592.jpg
61	 H?M H3M 	陈奕迅 	 2009-03-23 	 流行	8.5	https://music.douban.com/subject/3603814/	https://img9.doubanio.com/view/subject/s/public/s3666735.jpg
62	 神秘嘉宾 神秘嘉宾 	林宥嘉 	 2008-06-03 	 流行	8.4	https://music.douban.com/subject/3076388/	https://img9.doubanio.com/view/subject/s/public/s3113075.jpg
63	 LesChoristes 放牛班的春天 	Bruno Coulais 	 2004-05-03 	 原声	9.4	https://music.douban.com/subject/1394803/	https://img9.doubanio.com/view/subject/s/public/s1400055.jpg
64	 赤子 Innocent 	范晓萱&100% 	 2009-08-10 	 摇滚	8.1	https://music.douban.com/subject/3871896/	https://img2.doubanio.com/view/subject/s/public/s3902012.jpg
65	 9 	Damien Rice 	 2006-11-06 	 民谣	8.9	https://music.douban.com/subject/1889074/	https://img3.doubanio.com/view/subject/s/public/s1831581.jpg
66	 将爱 	王菲 	 2003 	 流行	8.7	https://music.douban.com/subject/1401392/	https://img3.doubanio.com/view/subject/s/public/s2726841.jpg
67	 遇见我 遇见我 	曹方 	 2005年12月 	 流行	8.4	https://music.douban.com/subject/1449452/	https://img3.doubanio.com/view/subject/s/public/s1462740.jpg
68	 梵高先生 B&BⅡ 	李志 	 2007-01-11 	 民谣	8.9	https://music.douban.com/subject/1958731/	https://img1.doubanio.com/view/subject/s/public/s3743777.jpg
69	 Timeless可啦思刻 方大同2009全新大碟自選輯/可啦思刻 	方大同 	 2009-08-11 	R&B	8.3	https://music.douban.com/subject/3821598/	https://img3.doubanio.com/view/subject/s/public/s27078161.jpg
70	 依然范特西 StillFantasy 	周杰伦 	 2006-09-05 	 流行	7.7	https://music.douban.com/subject/2210561/	https://img9.doubanio.com/view/subject/s/public/s1943885.jpg
71	 风筝 Kite 	孙燕姿 	 2001-07-09 	 流行	8.8	https://music.douban.com/subject/1407437/	https://img9.doubanio.com/view/subject/s/public/s6569456.jpg
72	 完美的一天 APerfectDay 	孙燕姿 	 2005-10-07 	 流行	8.1	https://music.douban.com/subject/4725615/	https://img2.doubanio.com/view/subject/s/public/s1646682.jpg
73	 SayIAmYou 	The Weepies 	 2006 	 民谣	8.5	https://music.douban.com/subject/1547155/	https://img1.doubanio.com/view/subject/s/public/s4043738.jpg
74	 黑色柳丁 BlackTangerine 	陶喆 	 2002 	 流行	8.8	https://music.douban.com/subject/1395092/	https://img2.doubanio.com/view/subject/s/public/s4597133.jpg
75	 UnderMySkin 	Avril Lavigne 	 2004-05-12 	 摇滚	8.5	https://music.douban.com/subject/1394994/	https://img1.doubanio.com/view/subject/s/public/s4716897.jpg
76	 Stefanie 	孙燕姿 	 2004-10-1 	 流行	8.6	https://music.douban.com/subject/1406256/	https://img3.doubanio.com/view/subject/s/public/s1418840.jpg
77	 TheFame 	Lady Gaga 	 2008-08-19 	 流行	8.3	https://music.douban.com/subject/3179585/	https://img3.doubanio.com/view/subject/s/public/s3224590.jpg
78	 Mr.A-Z 英语老师 	Jason Mraz 	 2005-07-04 	 流行	9.0	https://music.douban.com/subject/1823439/	https://img3.doubanio.com/view/subject/s/public/s2761461.jpg
79	 为爱而生 為愛而生/BORNTOLOVE 	五月天 	 2006-12-28 	 流行	8.4	https://music.douban.com/subject/1948359/	https://img3.doubanio.com/view/subject/s/public/s1959251.jpg
80	 DanielPowter dp 	Daniel Powter 	 2006 	 流行	8.6	https://music.douban.com/subject/1421922/	https://img1.doubanio.com/view/subject/s/public/s1661548.jpg
81	 I'mYours 	Jason Mraz 	 2008-12-16 	 民谣	9.4	https://music.douban.com/subject/3097879/	https://img2.doubanio.com/view/subject/s/public/s9074663.jpg
82	 时光·漫步 	许巍 Wei Xu 	 2002-12-01 	 民谣	8.9	https://music.douban.com/subject/1408378/	https://img3.doubanio.com/view/subject/s/public/s3839391.jpg
83	 生如夏花 LifeLikeSummerFlowers 	朴树 	 2003-11-28 	 流行	8.6	https://music.douban.com/subject/1407656/	https://img1.doubanio.com/view/subject/s/public/s1966937.jpg
84	 我很忙 JAYCHOUONTHERUN 	周杰伦 	 2007-11-01 	 流行	7.3	https://music.douban.com/subject/1846771/	https://img2.doubanio.com/view/subject/s/public/s2753832.jpg
85	 夏/狂热 Fever 	苏打绿 	 2009-09-11 	 摇滚	8.3	https://music.douban.com/subject/3838018/	https://img2.doubanio.com/view/subject/s/public/s3967123.jpg
86	 绝世名伶 	范晓萱 	 2001-08-25 	 爵士	8.8	https://music.douban.com/subject/1424317/	https://img2.doubanio.com/view/subject/s/public/s11363103.jpg
87	 哼一首歌等日落 	曹方 	 2009-11-11 	 流行	8.1	https://music.douban.com/subject/4116446/	https://img3.doubanio.com/view/subject/s/public/s4052811.jpg
88	 未完成 ToBeContinued...... 	孙燕姿 	 2003-01-10 	 流行	8.6	https://music.douban.com/subject/1408461/	https://img2.doubanio.com/view/subject/s/public/s3524013.jpg
89	 OKComputer 	Radiohead 	 1997 	 摇滚	9.2	https://music.douban.com/subject/1394653/	https://img1.doubanio.com/view/subject/s/public/s2789048.jpg
90	 BorntoDie 向死而生（大陆）/生死相守（台） 	Lana Del Rey 	 2012-01-31 	 流行	8.6	https://music.douban.com/subject/10448971/	https://img1.doubanio.com/view/subject/s/public/s7047247.jpg
91	 TheWall 迷墙 	Pink Floyd 	 1979 	 摇滚	9.2	https://music.douban.com/subject/1394664/	https://img9.doubanio.com/view/subject/s/public/s2413665.jpg
92	 不要停止我的音乐 TheMusicWon'tBeStopped 	痛仰 	 2008-10 	 摇滚	8.6	https://music.douban.com/subject/3236064/	https://img9.doubanio.com/view/subject/s/public/s3523286.jpg
93	 HybridTheory 混合理论 	Linkin Park 	 2000 	 摇滚	8.9	https://music.douban.com/subject/1394771/	https://img9.doubanio.com/view/subject/s/public/s2838195.jpg
94	 MTVUnpluggedinNewYork 	Nirvana 	 1994-11-01 	 摇滚	9.5	https://music.douban.com/subject/1394566/	https://img3.doubanio.com/view/subject/s/public/s3158430.jpg
95	 After17 	陈绮贞 	 2004年12月 	 流行	9.2	https://music.douban.com/subject/1400651/	https://img2.doubanio.com/view/subject/s/public/s4711982.jpg
96	 InBetweenDreams 	Jack Johnson 	 2005-03-22 	 民谣	9.0	https://music.douban.com/subject/1395432/	https://img1.doubanio.com/view/subject/s/public/s4346679.jpg
97	 神的孩子都在跳舞 	五月天 Mayday 	 2004-11-05 	 流行	8.9	https://music.douban.com/subject/3526294/	https://img3.doubanio.com/view/subject/s/public/s3586961.jpg
98	 离开地球表面Jump! 	五月天 	 2007-07-20 	 流行	8.7	https://music.douban.com/subject/2150115/	https://img9.doubanio.com/view/subject/s/public/s27078194.jpg
99	 不想放手 Don'tWanttoLetGo 	陈奕迅 	 2008-06-30 	 流行	8.3	https://music.douban.com/subject/3088329/	https://img9.doubanio.com/view/subject/s/public/s3146476.jpg
100	 我的歌声里 	曲婉婷 	 2010-02-24 	 流行	9.2	https://music.douban.com/subject/5395505/	https://img3.doubanio.com/view/subject/s/public/s9127241.jpg
101	 TheLegendof1900 海上钢琴师 	Ennio Morricone 	 1999-10-12 	 原声	9.4	https://music.douban.com/subject/1415369/	https://img3.doubanio.com/view/subject/s/public/s1426141.jpg
102	 孤独的人是可耻的 	张楚 	 1994 	 摇滚	9.1	https://music.douban.com/subject/1407472/	https://img3.doubanio.com/view/subject/s/public/s3266121.jpg
103	 徐佳瑩LaLa首张创作专辑 LaLa首張創作專輯 	徐佳莹 	 2009-05-29 	 流行	8.2	https://music.douban.com/subject/3746394/	https://img3.doubanio.com/view/subject/s/public/s3819180.jpg
104	 TheBestDamnThing 美丽坏东西 	Avril Lavigne 	 2007-04-17 	 摇滚	7.7	https://music.douban.com/subject/2044199/	https://img2.doubanio.com/view/subject/s/public/s2362973.jpg
105	 知足justmypride最真杰作选 	五月天 	 2005-11-18 	 摇滚	9.1	https://music.douban.com/subject/1422072/	https://img9.doubanio.com/view/subject/s/public/s1443616.jpg
106	 1 TheBeatles1/No.1 	The Beatles 	 2000 	 摇滚	9.4	https://music.douban.com/subject/1394818/	https://img1.doubanio.com/view/subject/s/public/s3509238.jpg
107	 魔杰座 	周杰伦 	 2008-10-09 	 流行	6.9	https://music.douban.com/subject/3222423/	https://img2.doubanio.com/view/subject/s/public/s3292023.jpg
108	 X&Y 	Coldplay 	 2005-06-07 	 摇滚	8.4	https://music.douban.com/subject/1394600/	https://img3.doubanio.com/view/subject/s/public/s1400630.jpg
109	 19 	Adele 	 2008-01-28 	R&B	8.3	https://music.douban.com/subject/2347182/	https://img2.doubanio.com/view/subject/s/public/s2841982.jpg
110	 时光机 mayday'stimemachine 	五月天 	 2003-11-11 	 摇滚	9.0	https://music.douban.com/subject/1408748/	https://img9.doubanio.com/view/subject/s/public/s4718016.jpg
111	 YanZi 孙燕姿同名专辑 	孙燕姿 	 2000-06-08 	 流行	9.0	https://music.douban.com/subject/1405022/	https://img3.doubanio.com/view/subject/s/public/s4067651.jpg
112	 TimeFlies 时日如飞 	陈奕迅 	 2010-03-12 	 流行	8.7	https://music.douban.com/subject/4706451/	https://img2.doubanio.com/view/subject/s/public/s4217513.jpg
113	 失败者的飞翔 	陈绮贞 	 2008-07-13 	 流行	8.6	https://music.douban.com/subject/3143363/	https://img1.doubanio.com/view/subject/s/public/s3164468.jpg
114	 MyLove 	田馥甄 	 2011-09-02 	 流行	8.0	https://music.douban.com/subject/6722110/	https://img3.doubanio.com/view/subject/s/public/s6884320.jpg
115	 亲亲 親親 	梁静茹 	 2006-10-06 	 流行	8.1	https://music.douban.com/subject/1891318/	https://img1.doubanio.com/view/subject/s/public/s1876827.jpg
116	 你王菲所以我王菲 	王菲 	 2002 	 流行	9.4	https://music.douban.com/subject/1769327/	https://img1.doubanio.com/view/subject/s/public/s2951748.jpg
117	 StrangerUnderMySkin 	陈奕迅 	 2011-02-22 	 流行	8.6	https://music.douban.com/subject/6082657/	https://img3.doubanio.com/view/subject/s/public/s4644120.jpg
118	 ComeAwaywithMe 远走高飞 	Norah Jones 	 2002 	 爵士	8.8	https://music.douban.com/subject/1394747/	https://img9.doubanio.com/view/subject/s/public/s3845165.jpg
119	 平凡之路 电影《后会无期》宣传曲 	朴树 	 2014-07-16 	 原声	8.9	https://music.douban.com/subject/25927970/	https://img1.doubanio.com/view/subject/s/public/s27326029.jpg
120	 认了吧 Admitit 	陈奕迅 	 2007-04-24 	 流行	8.7	https://music.douban.com/subject/2052256/	https://img1.doubanio.com/view/subject/s/public/s3947069.jpg
121	 21stCenturyBreakdown 	Green Day 	 2009-05-15 	 摇滚	8.5	https://music.douban.com/subject/3533452/	https://img9.doubanio.com/view/subject/s/public/s3727625.jpg
122	 神的游戏 GamesWePlay/神的遊戲 	張懸 	 2012-08-10 	 流行	8.7	https://music.douban.com/subject/11027027/	https://img1.doubanio.com/view/subject/s/public/s11174008.jpg
123	 唱游 	王菲 	 1998 	 流行	9.2	https://music.douban.com/subject/1394808/	https://img9.doubanio.com/view/subject/s/public/s2749634.jpg
124	 花的姿态：演唱会经典实录 花的姿態經典實錄精裝版2CD+DVD 	陈绮贞 	 2007-05-18 	 CD DVD	9.2	https://music.douban.com/subject/2078050/	https://img1.doubanio.com/view/subject/s/public/s2377978.jpg
125	 我去2000年 	朴树 	 1999-1 	 流行	9.1	https://music.douban.com/subject/1405324/	https://img1.doubanio.com/view/subject/s/public/s27208919.jpg
126	 YoungForYou 	GALA 	 2004 	 摇滚	8.7	https://music.douban.com/subject/1758337/	https://img1.doubanio.com/view/subject/s/public/s1629838.jpg
127	 自选集 StartYan-zi 	孙燕姿 	 2002年1月 	 流行	8.9	https://music.douban.com/subject/1405050/	https://img1.doubanio.com/view/subject/s/public/s3151869.jpg
128	 理性与感性作品音乐会 SenseandSensibility 	李宗盛 Jonathan 	 2007-09-28 	 流行	9.5	https://music.douban.com/subject/2266925/	https://img2.doubanio.com/view/subject/s/public/s2891182.jpg
129	 比天空还远 	曹方 	 2007-11-20 	 流行	8.5	https://music.douban.com/subject/2350942/	https://img9.doubanio.com/view/subject/s/public/s2755385.jpg
130	 黑梦 	窦唯 	 1994-10 	 摇滚	9.2	https://music.douban.com/subject/2299845/	https://img2.doubanio.com/view/subject/s/public/s3081692.jpg
131	 不能说的秘密 不能說的秘密 	"周杰倫,Terdsak Janpan,詹宇豪,陳承麒,黃婉琦,姚蘇蓉,黃俊郎,江語晨,長榮交響樂團 "	 2007-08-13 	 原声	8.7	https://music.douban.com/subject/2164654/	https://img1.doubanio.com/view/subject/s/public/s2652097.jpg
132	 丝路 通往爱的路途 	梁静茹 Fish 	 2005-9-16 	 流行	8.2	https://music.douban.com/subject/1427941/	https://img2.doubanio.com/view/subject/s/public/s1966952.jpg
133	 AllTheLostSouls 失落的灵魂 	James Blunt 	 2007-09-18 	 流行	8.5	https://music.douban.com/subject/2153935/	https://img2.doubanio.com/view/subject/s/public/s2609413.jpg
134	 F.I.R. 	"F.I.R.,飞儿乐团 "	 2004-04-29 	 流行	8.6	https://music.douban.com/subject/1408794/	https://img3.doubanio.com/view/subject/s/public/s4124010.jpg
135	 上五楼的快活 	陈奕迅 	 2009-09-23 	 流行	7.7	https://music.douban.com/subject/4009831/	https://img2.doubanio.com/view/subject/s/public/s3969572.jpg
136	 MinutestoMidnight 	Linkin Park 	 2007-05-15 	 摇滚	8.2	https://music.douban.com/subject/2042799/	https://img3.doubanio.com/view/subject/s/public/s2665031.jpg
137	 GOODBYE&HELLO 	"蔡健雅,Tanya "	 2007-10-19 	 流行	8.6	https://music.douban.com/subject/2264207/	https://img1.doubanio.com/view/subject/s/public/s27067658.jpg
138	 SomeoneLikeYou 	Adele 	 2011-01-24 	R&B	9.5	https://music.douban.com/subject/6064884/	https://img9.doubanio.com/view/subject/s/public/s4689205.jpg
139	 迟到千年 	苏打绿 	 2006-09-18 	 流行	8.8	https://music.douban.com/subject/1875211/	https://img9.doubanio.com/view/subject/s/public/s4567536.jpg
140	 TheDarkSideoftheMoon 	Pink Floyd 	 1973 	 摇滚	9.1	https://music.douban.com/subject/1395685/	https://img9.doubanio.com/view/subject/s/public/s4415985.jpg
141	 王菲 FayeWong2001 	王菲 	 2001 	 流行	9.1	https://music.douban.com/subject/3837067/	https://img3.doubanio.com/view/subject/s/public/s27066361.jpg
142	 夜空中最亮的星 	逃跑计划 	 2011-04-12 	 摇滚	9.4	https://music.douban.com/subject/6974122/	https://img9.doubanio.com/view/subject/s/public/s7050455.jpg
143	 追梦痴子心 	GALA 	 2011-03-24 	 摇滚	8.8	https://music.douban.com/subject/6047523/	https://img1.doubanio.com/view/subject/s/public/s26743139.jpg
144	 宝贝 	莫文蔚 	 2010-07-26 	 流行	7.9	https://music.douban.com/subject/4884299/	https://img2.doubanio.com/view/subject/s/public/s4425103.jpg
145	" 黑白灰 Black,White&Grey/黑·白·灰 "	陈奕迅 	 2003 	 流行	9.1	https://music.douban.com/subject/1401759/	https://img9.doubanio.com/view/subject/s/public/s4088274.jpg
146	 安和桥北 献给张先诺先生 	宋冬野 	 2013-08-26 	 民谣	8.7	https://music.douban.com/subject/25709562/	https://img1.doubanio.com/view/subject/s/public/s27029428.jpg
147	 PrisonerofLove 爱情的俘虏 	宇多田ヒカル 	 2008-05-21 	 流行	9.2	https://music.douban.com/subject/3035043/	https://img9.doubanio.com/view/subject/s/public/s3104656.jpg
148	 Groupies吉他手 Groupies 	陈绮贞 	 2002-08-02 	 流行	9.1	https://music.douban.com/subject/1394549/	https://img9.doubanio.com/view/subject/s/public/s3268875.jpg
149	 NowTheDayIsOver 美好的一天 	The Innocence Mission 	 2004 	 民谣	8.4	https://music.douban.com/subject/1404703/	https://img9.doubanio.com/view/subject/s/public/s1506405.jpg
150	 Apologize 抱歉 	"Timbaland,OneRepublic "	 2007-11-06 	R&B	9.2	https://music.douban.com/subject/2285727/	https://img3.doubanio.com/view/subject/s/public/s6780751.jpg
151	 阿菲正传 阿菲正傳 	王菲 	 2009-06-25 	 流行	9.4	https://music.douban.com/subject/3815932/	https://img2.doubanio.com/view/subject/s/public/s3850703.jpg
152	 跨时代 	周杰伦 	 2010-05-14 	 流行	7.0	https://music.douban.com/subject/4820650/	https://img1.doubanio.com/view/subject/s/public/s4364499.jpg
153	 Leave 離開 	孙燕姿 	 2002-5-21 	 流行	8.7	https://music.douban.com/subject/1949354/	https://img9.doubanio.com/view/subject/s/public/s2693584.jpg
154	 被禁忌的游戏 	李志 	 2004-12 	 民谣	8.8	https://music.douban.com/subject/1933017/	https://img1.doubanio.com/view/subject/s/public/s2650727.jpg
155	 What'sGoingOn....? 	陈奕迅 	 2006 	 流行	9.1	https://music.douban.com/subject/1920622/	https://img2.doubanio.com/view/subject/s/public/s1933423.jpg
156	 第二人生末日版 SECONDROUND-NOWHERE 	五月天 	 2011-12-20 	 流行	8.9	https://music.douban.com/subject/7065468/	https://img9.doubanio.com/view/subject/s/public/s7021494.jpg
157	 樂之路 Ultrasound1997-2003/乐之路 	陶喆 	 2003-08-08 	 流行	9.0	https://music.douban.com/subject/1407536/	https://img9.doubanio.com/view/subject/s/public/s3522345.jpg
